,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,patents,score
630,21,355,478,210,404,328,406,280,45.41
1468,12,367,124,218,190,333,234,626,46.34
1424,8,367,567,218,185,354,234,281,47.0
490,3,355,279,210,256,469,363,128,46.42
731,23,252,478,210,467,265,609,373,45.01
1591,15,367,567,218,473,352,645,272,45.2
1794,15,367,559,218,425,384,511,518,44.52
928,25,355,478,210,596,637,406,481,44.61
499,26,78,175,210,379,367,363,280,46.34
1452,22,151,257,57,359,250,161,553,46.49
536,1,299,478,210,181,204,406,481,45.99
1553,4,367,166,218,259,764,511,329,45.47
483,14,355,153,210,289,251,250,338,46.52
670,26,355,333,210,564,568,283,204,45.22
1479,5,110,567,218,294,301,161,506,46.21
481,22,355,478,122,285,232,310,737,46.57
936,21,355,478,210,658,447,493,737,44.6
633,141,355,478,97,449,374,283,637,45.4
824,18,355,478,210,470,543,493,373,44.76
1798,34,367,333,218,785,525,368,400,44.52
694,20,355,478,210,340,525,609,307,45.14
1650,1,367,567,218,403,465,645,355,44.94
1556,2,367,377,218,312,353,287,542,45.44
491,9,355,328,210,198,424,310,138,46.42
471,7,324,475,210,163,333,200,737,46.67
1237,4,288,8,218,406,389,368,248,58.17
609,9,355,451,210,386,583,406,109,45.49
531,124,355,95,210,548,380,200,338,46.06
449,8,355,478,210,208,376,283,307,47.11
1544,30,85,271,218,360,412,368,177,45.52
552,11,355,315,181,296,555,310,307,45.82
954,2,322,478,210,549,572,406,307,44.58
709,163,355,478,210,424,470,493,737,45.09
1778,14,367,424,218,502,647,321,636,44.56
621,19,355,110,210,540,687,493,552,45.44
554,2,355,372,210,318,338,220,637,45.8
746,32,355,478,210,715,304,493,426,44.96
830,5,355,478,210,485,674,406,552,44.74
1634,12,215,212,218,470,697,645,110,45.03
680,37,352,478,210,433,615,800,338,45.19
740,42,355,478,210,560,317,406,373,44.98
1647,3,367,332,218,315,537,511,239,44.96
729,42,355,478,210,491,329,609,637,45.01
616,21,274,128,210,567,579,493,307,45.46
671,39,355,245,210,382,454,406,426,45.22
663,149,196,176,210,568,474,493,280,45.25
1491,24,367,567,218,322,245,287,308,46.07
622,140,355,478,210,579,471,310,737,45.43
1501,26,326,567,208,281,266,511,364,45.94
565,15,355,478,210,319,289,125,373,45.74
1701,21,367,567,218,454,421,321,853,44.77
533,9,355,478,210,528,565,406,57,46.02
1316,2,136,466,169,85,135,53,871,49.75
651,5,355,478,210,482,401,800,637,45.29
1582,3,367,531,218,320,319,812,568,45.27
570,1,87,478,104,539,403,250,637,45.69
795,176,355,259,210,671,602,363,481,44.82
555,7,355,478,210,373,634,406,100,45.79
1674,19,367,567,218,351,341,428,344,44.86
547,127,240,187,210,480,290,200,481,45.88
780,36,355,324,210,585,564,493,338,44.85
1462,24,258,63,218,400,347,182,666,46.4
343,7,355,398,210,83,123,87,737,49.47
692,18,355,247,210,437,662,609,637,45.14
502,27,355,453,210,284,288,406,426,46.31
1769,30,367,567,218,518,567,511,623,44.59
776,45,355,437,210,534,425,493,426,44.88
1666,10,367,269,218,431,433,428,493,44.88
1471,105,324,144,218,365,299,264,258,46.31
1485,14,367,137,218,280,247,264,384,46.17
1482,3,367,567,218,229,201,212,871,46.18
1513,117,165,207,218,278,262,234,456,45.8
1746,31,367,567,218,773,329,645,270,44.63
1495,25,367,235,218,236,235,368,797,46.0
723,167,156,419,210,553,473,363,307,45.03
647,147,129,249,210,459,479,310,338,45.34
587,18,355,478,210,345,336,493,338,45.6
1456,1,337,465,152,155,296,197,495,46.43
299,2,185,26,106,223,312,310,637,51.34
1440,3,367,567,218,144,220,264,277,46.72
1734,43,367,567,218,466,289,321,515,44.68
1432,19,367,567,194,210,185,161,523,46.88
1792,23,367,538,218,479,739,264,871,44.53
247,1,14,210,50,264,247,310,737,56.42
840,19,355,478,210,521,358,800,552,44.73
645,146,355,350,210,538,414,609,737,45.36
1686,37,367,567,218,459,528,368,284,44.82
