x,y,type
25.968540773,-447.206648964,1
-736.543901619,297.473311485,1
-592.475439043,49.4125814373,1
382.896691624,-300.742996976,1
435.528092489,-199.094725183,1
188.916129234,661.467781469,1
-409.883675638,456.953619867,1
-1341.39038723,54.9413139967,1
-1267.05669974,111.630196436,1
-461.161382771,-504.881293689,1
-1284.51791731,121.971696538,1
-445.957626745,321.947292963,1
-300.803068753,-445.498319525,1
-72.9253997573,508.94704438,1
182.998715141,-206.505196717,1
632.425707913,-198.868884291,1
-337.70369382,313.028311039,1
-288.57437571,-480.925077676,1
-702.606154396,342.160397393,1
1333.77566178,-2.40085854364,1
-1247.40586563,103.136029955,1
140.776678019,-435.668024956,1
430.27782704,-247.523279748,1
238.074525304,-335.216742217,1
-198.95237698,-511.982623012,1
-275.681179832,386.516447177,1
-382.633621842,389.012458015,1
-233.334429673,349.6588379,1
-1141.72892474,179.820447634,1
-160.283089851,454.937059839,1
997.644406876,25.6812106328,1
59.2109768371,516.540380752,1
-1216.46680126,99.2158309512,1
-1251.5564419,-96.9388902385,1
534.519628717,-138.0572187,1
393.526204737,-192.407170746,1
-658.747226398,127.346404395,1
424.611677724,751.004048221,1
-584.303447406,285.420687605,1
339.539291566,679.108369792,1
545.006328033,793.064436065,1
-388.105485187,268.939675514,1
-576.127775408,245.288285421,1
689.493307636,-85.4614132892,1
-101.832185591,458.922309613,1
1474.58074764,47.4476712923,1
1099.69970007,82.1395313765,1
871.683795941,-84.132454523,1
-157.308952395,-359.032298586,1
-37.0823090182,472.658896267,1
-98.6585786834,-360.326293068,1
-764.467982796,254.992925687,1
1317.02627948,-62.2596764155,1
225.863611595,-143.395607447,1
-337.769367875,403.556929465,1
1418.34331231,-13.5788962207,1
-994.965677242,76.9548587472,1
533.246097633,788.490851757,1
475.512444836,-277.253128932,1
652.076455968,-79.7578967812,1
-1208.25394951,175.232881423,1
1136.70761254,65.6605324205,1
900.188836288,-62.2167168827,1
461.961719489,749.506807625,1
-208.166837848,400.736203656,1
1346.34073976,-3.47520990964,1
