,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,patents,score
577,1,192,477,176,268,348,363,737,45.66
1635,3,367,430,218,426,431,368,195,45.03
1522,118,367,567,218,427,404,197,871,45.71
1157,3,355,478,210,978,974,609,737,44.31
529,7,355,478,210,258,314,220,373,46.08
583,8,355,478,210,339,556,493,89,45.63
1707,159,367,567,218,824,724,368,615,44.75
2056,53,367,532,218,870,732,428,769,44.17
1405,9,218,451,218,119,87,182,230,47.31
786,1,355,150,210,902,550,406,637,44.85
352,11,22,362,96,349,259,283,307,49.18
60,3,47,3,101,101,101,101,101,48.33
1281,1,367,202,218,35,92,53,74,52.03
1390,4,367,309,218,71,290,368,106,47.66
2086,67,367,567,218,982,868,812,287,44.14
1430,4,367,264,97,283,325,115,236,46.89
1417,90,296,259,218,168,193,197,186,47.06
98,2,100,101,101,65,101,60,101,43.47
31,3,77,101,44,39,44,51,11,54.43
2037,61,367,567,218,942,788,812,536,44.19
499,26,78,175,210,379,367,363,280,46.34
1132,1,355,478,210,940,744,800,737,44.35
1211,10,6,328,7,53,9,19,13,84.4
908,9,355,309,210,816,892,609,737,44.63
69,1,51,101,42,84,49,95,101,47.61
247,1,14,210,50,264,247,310,737,56.42
1803,46,367,567,218,792,396,511,839,44.51
968,36,193,478,210,626,801,609,552,44.56
2125,72,367,325,218,906,882,511,430,44.1
706,11,82,478,210,551,573,609,637,45.1
2016,45,367,567,218,758,592,812,805,44.21
735,43,355,478,210,442,293,310,552,44.99
517,119,295,171,210,383,307,250,115,46.2
109,8,10,25,13,20,12,22,42,78.83
206,5,4,22,6,7,4,3,28,92.84
1728,30,367,517,218,594,602,368,244,44.7
1375,10,111,219,89,179,155,212,328,48.01
1744,41,367,122,218,785,861,812,601,44.64
100,1,1,1,1,1,1,1,7,100.0
850,30,214,478,210,524,541,800,737,44.71
1709,161,229,248,218,516,491,511,871,44.74
1746,31,367,567,218,773,329,645,270,44.63
657,35,355,478,210,454,539,406,170,45.26
582,16,229,478,64,530,533,363,737,45.63
1830,47,367,567,218,616,340,645,809,44.46
1350,7,320,376,218,101,111,101,540,48.72
259,39,124,252,28,105,53,48,68,54.76
872,3,355,478,210,660,586,406,552,44.68
1374,77,367,567,218,125,112,197,180,48.05
1523,119,198,256,218,357,288,368,397,45.7
721,166,355,478,150,736,411,609,737,45.03
1545,31,304,567,217,329,249,428,271,45.51
2093,34,367,567,218,883,850,812,809,44.14
899,34,355,478,210,432,381,609,552,44.64
496,24,80,276,210,353,432,406,115,46.39
409,13,114,456,171,173,197,114,338,47.73
585,18,355,478,210,342,315,406,204,45.6
2,3,17,11,5,4,2,2,15,89.5
1156,1,321,478,210,837,776,609,737,44.32
569,12,152,102,210,401,547,609,204,45.7
423,9,220,472,210,129,83,176,227,47.48
1542,33,183,387,218,306,276,264,377,45.53
631,17,355,478,210,327,228,406,426,45.41
1332,5,367,41,218,149,208,234,261,49.31
1654,20,336,278,218,335,442,287,427,44.92
118,14,37,31,16,41,25,33,51,63.99
1765,171,166,352,218,564,414,368,371,44.59
1487,23,367,498,218,287,282,321,348,46.13
767,27,355,201,210,499,705,800,737,44.91
1840,5,367,567,218,510,704,511,731,44.44
