,national_rank,publications,influence
0,29,544,598
1,18,544,483
2,3,621,574
3,2,377,410
4,147,459,479
5,14,129,137
6,15,318,387
7,73,877,811
8,2,871,732
9,64,737,932
10,81,830,974
11,13,386,505
12,45,740,605
13,8,161,393
14,9,458,420
15,26,379,367
16,1,446,310
17,29,778,826
18,19,555,573
19,47,47,55
20,70,793,897
21,11,551,573
22,18,397,396
23,2,396,466
24,57,804,717
25,8,371,576
26,17,328,520
27,8,355,625
28,46,840,616
29,13,304,287
30,12,113,174
31,5,202,89
32,55,916,903
33,218,981,974
34,14,300,361
35,38,372,398
36,29,542,937
37,3,12,22
38,20,490,435
39,50,121,67
40,3,15,2
41,118,427,404
42,155,433,497
43,112,267,175
44,6,217,197
45,2,12,4
46,2,45,74
47,3,81,133
48,216,779,768
49,2,279,366
50,209,683,658
51,34,465,798
52,1,73,96
53,16,462,389
54,9,397,164
55,5,53,33
56,8,881,700
57,5,10,4
58,134,513,499
59,125,272,246
60,3,717,796
61,5,54,42
62,4,94,77
63,10,53,9
64,112,445,376
65,43,50,35
66,54,76,62
67,36,577,763
68,64,922,663
69,37,387,379
70,18,727,973
71,4,562,397
72,28,438,693
73,41,859,836
74,2,416,375
75,7,277,199
76,3,95,116
77,3,860,900
78,33,693,623
79,19,197,364
80,70,315,291
81,20,19,23
82,2,56,92
83,18,21,24
84,8,6,5
85,43,655,721
86,8,92,69
87,52,533,544
88,62,827,551
89,10,845,846
90,12,11,9
91,9,724,686
92,3,687,621
93,32,957,718
94,20,216,179
95,51,869,862
96,44,60,46
97,71,243,49
98,7,70,25
99,3,297,534
100,8,339,556
101,99,263,233
102,23,577,822
103,89,162,179
104,36,735,701
105,2,619,620
106,6,504,638
107,2,25,36
108,1,73,101
109,42,750,615
110,34,57,64
111,39,35,92
112,19,22,17
113,2,276,280
114,38,30,50
115,167,553,473
116,14,239,452
117,172,682,681
118,5,665,762
119,5,86,136
120,38,637,768
121,1,820,896
122,22,421,440
123,4,208,348
124,212,741,662
125,61,775,974
126,44,486,629
127,74,999,448
128,7,45,45
129,40,886,974
130,41,583,890
131,12,853,691
132,74,632,677
133,71,946,830
134,5,523,943
135,2,409,462
136,71,952,819
137,7,37,21
138,48,101,89
139,80,959,991
140,3,15,2
141,27,987,920
142,211,702,790
143,7,736,842
144,49,988,987
145,30,547,745
146,13,4,5
147,2,333,244
148,18,213,604
149,1,108,126
150,11,398,626
151,141,449,374
152,26,520,742
153,48,759,697
154,1,248,433
155,2,882,748
156,84,288,72
157,23,24,25
158,37,786,974
159,43,824,805
160,26,911,694
161,133,326,349
162,17,19,3
163,141,482,418
164,11,115,133
165,10,812,793
166,11,282,454
167,2,949,605
168,4,976,811
169,16,352,322
170,5,177,186
171,2,6,2
172,21,372,28
173,39,833,952
174,9,867,864
175,4,955,923
176,46,834,644
177,17,790,940
178,14,781,792
179,59,85,115
180,223,977,690
181,5,271,276
182,16,178,153
183,1,799,642
184,75,849,709
185,41,785,861
186,15,721,890
187,22,938,634
188,15,473,352
189,25,492,404
190,1,80,79
191,6,156,104
192,4,210,342
193,44,661,472
194,164,465,504
195,14,457,733
196,9,138,140
197,44,975,837
198,2,121,75
199,7,356,613
200,6,41,68
201,2,101,85
202,52,101,101
203,75,188,85
204,3,491,518
205,4,843,688
206,29,777,802
207,3,660,586
208,10,22,21
209,11,174,146
210,47,101,86
211,23,472,561
212,35,826,782
213,65,893,918
214,184,640,399
215,3,420,415
216,1,38,31
217,64,674,912
218,178,823,544
219,52,78,51
220,44,763,762
221,65,173,84
222,142,901,522
223,67,982,868
224,17,19,29
225,5,485,674
226,26,768,966
227,3,25,39
228,8,358,661
229,70,923,915
230,11,807,688
231,53,841,628
232,35,852,938
233,5,43,55
234,2,15,13
235,7,167,119
236,4,90,177
237,68,873,737
238,1,11,7
239,174,713,315
240,1,35,92
241,52,949,885
242,32,715,304
243,70,966,767
244,9,839,931
245,6,732,812
246,64,161,73
247,40,947,899
248,6,578,722
249,21,297,209
250,4,101,101
251,10,445,460
252,192,800,548
253,84,890,790
254,9,38,24
255,3,932,897
256,6,265,307
257,29,607,269
258,156,637,660
259,3,315,537
260,4,336,403
261,1,529,904
262,60,846,866
263,8,798,947
264,15,332,335
265,29,719,784
266,4,12,16
267,48,816,684
268,2,312,353
269,40,394,345
270,22,929,974
271,4,630,441
272,11,478,279
273,9,746,629
274,6,130,99
275,1,61,108
276,9,416,292
277,51,101,101
278,42,491,329
279,15,16,5
280,61,942,788
281,68,966,901
282,73,888,974
283,20,204,167
284,4,64,96
285,45,768,719
286,31,18,31
287,58,773,757
288,2,140,326
289,1,243,231
290,13,205,352
291,15,188,212
292,36,850,816
293,57,760,719
294,34,390,402
295,2,42,68
296,43,661,743
297,63,800,844
298,3,413,225
299,163,424,470
300,11,820,771
301,95,257,162
302,43,701,658
303,25,693,591
304,229,962,815
305,31,854,624
306,2,99,105
307,54,134,97
308,14,294,274
309,3,712,451
310,14,170,208
311,195,640,473
312,74,995,439
