,national_rank,publications,quality_of_faculty
0,29,544,210
1,18,544,218
2,3,621,218
3,2,377,210
4,147,459,210
5,14,129,196
6,15,318,218
7,73,877,218
8,2,871,218
9,64,737,210
10,81,830,218
11,13,386,218
12,45,740,210
13,8,161,218
14,9,458,210
15,26,379,210
16,1,446,218
17,29,778,210
18,19,555,218
19,47,47,50
20,70,793,218
21,11,551,210
22,18,397,210
23,2,396,210
24,57,804,210
25,8,371,218
26,17,328,188
27,8,355,218
28,46,840,218
29,13,304,218
30,12,113,85
31,5,202,187
32,55,916,218
33,218,981,218
34,14,300,185
35,38,372,210
36,29,542,218
37,3,12,27
38,20,490,218
39,50,121,73
40,3,15,2
41,118,427,218
42,155,433,218
43,112,267,150
44,6,217,116
45,2,12,3
46,2,45,210
47,3,81,165
48,216,779,210
49,2,279,75
50,209,683,210
51,34,465,218
52,1,73,25
53,16,462,210
54,9,397,218
55,5,53,2
56,8,881,218
57,5,10,6
58,134,513,210
59,125,272,210
60,3,717,218
61,5,54,36
62,4,94,111
63,10,53,7
64,112,445,218
65,43,50,101
66,54,76,101
67,36,577,210
68,64,922,218
69,37,387,210
70,18,727,218
71,4,562,218
72,28,438,218
73,41,859,210
74,2,416,210
75,7,277,210
76,3,95,56
77,3,860,218
78,33,693,218
79,19,197,122
80,70,315,210
81,20,19,56
82,2,56,101
83,18,21,34
84,8,6,6
85,43,655,210
86,8,92,74
87,52,533,210
88,62,827,210
89,10,845,210
90,12,11,20
91,9,724,210
92,3,687,218
93,32,957,218
94,20,216,168
95,51,869,218
96,44,60,84
97,71,243,100
98,7,70,3
99,3,297,210
100,8,339,210
101,99,263,145
102,23,577,218
103,89,162,210
104,36,735,192
105,2,619,210
106,6,504,218
107,2,25,19
108,1,73,26
109,42,750,218
110,34,57,39
111,39,35,98
112,19,22,46
113,2,276,210
114,38,30,83
115,167,553,210
116,14,239,218
117,172,682,218
118,5,665,210
119,5,86,218
120,38,637,218
121,1,820,218
122,22,421,210
123,4,208,218
124,212,741,218
125,61,775,210
126,44,486,218
127,74,999,218
128,7,45,101
129,40,886,218
130,41,583,218
131,12,853,210
132,74,632,210
133,71,946,210
134,5,523,218
135,2,409,150
136,71,952,210
137,7,37,8
138,48,101,67
139,80,959,218
140,3,15,2
141,27,987,210
142,211,702,218
143,7,736,218
144,49,988,210
145,30,547,210
146,13,4,21
147,2,333,142
148,18,213,218
149,1,108,44
150,11,398,210
151,141,449,97
152,26,520,75
153,48,759,210
154,1,248,210
155,2,882,210
156,84,288,136
157,23,24,101
158,37,786,210
159,43,824,210
160,26,911,210
161,133,326,218
162,17,19,21
163,141,482,218
164,11,115,218
165,10,812,218
166,11,282,218
167,2,949,218
168,4,976,210
169,16,352,218
170,5,177,71
171,2,6,4
172,21,372,12
173,39,833,210
174,9,867,218
175,4,955,218
176,46,834,210
177,17,790,218
178,14,781,210
179,59,85,210
180,223,977,218
181,5,271,210
182,16,178,143
183,1,799,218
184,75,849,210
185,41,785,218
186,15,721,210
187,22,938,218
188,15,473,218
189,25,492,210
190,1,80,111
191,6,156,193
192,4,210,210
193,44,661,210
194,164,465,210
195,14,457,210
196,9,138,53
197,44,975,218
198,2,121,30
199,7,356,218
200,6,41,74
201,2,101,23
202,52,101,70
203,75,188,210
204,3,491,218
205,4,843,210
206,29,777,218
207,3,660,210
208,10,22,14
209,11,174,176
210,47,101,101
211,23,472,210
212,35,826,218
213,65,893,210
214,184,640,210
215,3,420,210
216,1,38,64
217,64,674,218
218,178,823,218
219,52,78,44
220,44,763,218
221,65,173,58
222,142,901,218
223,67,982,218
224,17,19,33
225,5,485,210
226,26,768,210
227,3,25,95
