influence,national_rank,publications
485,2,164
381,10,330
553,39,419
376,112,445
312,2,223
331,42,457
488,1,400
327,4,386
755,14,428
442,20,335
378,34,388
545,2,157
350,2,274
361,14,300
465,1,403
565,9,528
463,24,438
602,30,594
261,15,368
245,5,228
413,4,469
367,115,262
436,173,610
287,130,468
274,14,294
575,3,295
302,106,331
156,1,362
339,180,608
276,33,306
384,4,391
362,34,407
438,144,522
626,16,219
149,19,200
398,38,372
319,3,320
328,21,404
269,29,607
278,5,206
341,13,367
563,23,470
211,151,451
169,97,527
469,3,256
412,122,424
423,139,495
278,15,461
263,29,260
491,168,537
651,3,240
188,34,309
536,22,484
548,41,414
655,7,352
353,2,312
510,20,358
630,150,677
245,24,322
306,40,564
248,13,505
543,18,470
374,141,449
567,30,518
386,135,381
409,24,455
528,1,572
421,21,454
514,20,527
468,13,361
324,7,175
429,11,291
388,1,600
243,8,234
506,22,503
256,6,211
304,32,715
578,5,410
262,117,278
425,45,534
661,8,358
310,1,450
277,138,511
397,4,562
459,32,525
464,21,508
511,16,395
437,3,569
588,20,245
256,5,225
495,3,305
527,39,431
742,26,520
123,7,83
324,22,429
533,16,530
561,23,472
478,26,269
546,25,534
75,3,95
367,26,379
401,8,323
417,29,374
410,2,377
385,15,440
210,18,481
249,31,329
332,14,375
237,31,328
874,5,252
627,19,310
234,132,334
808,25,444
370,38,487
275,6,218
649,2,334
297,21,324
569,167,472
171,8,147
343,46,718
493,10,331
281,17,286
429,43,532
219,1,199
434,4,344
466,3,256
764,5,261
276,5,271
497,155,433
499,134,513
415,1,341
185,19,210
424,137,498
703,29,541
298,95,363
5,16,16
297,10,257
85,55,143
101,5,101
47,45,58
250,4,102
52,27,56
98,56,77
176,10,116
59,40,111
52,32,28
65,44,97
160,10,116
170,7,135
73,45,88
313,120,348
67,50,121
111,7,101
39,4,31
10,10,10
101,5,101
91,25,89
57,49,60
125,3,156
101,3,101
67,43,69
106,57,137
96,4,64
428,4,182
38,37,96
17,1,2
101,51,101
88,1,80
114,2,124
32,17,28
91,2,101
65,1,81
177,92,192
136,1,37
66,51,123
101,3,101
46,58,95
70,6,43
73,38,37
26,25,347
361,2,102
233,1,289
3,2,5
4,5,10
23,20,19
273,12,253
18,26,32
101,41,101
121,4,126
77,4,94
24,18,21
153,16,178
7,1,11
274,13,254
33,44,24
241,1,456
54,34,71
179,20,216
308,10,261
84,20,46
346,110,402
33,45,67
155,10,179
143,8,158
246,3,309
172,12,138
28,15,101
31,31,18
151,66,250
411,3,172
212,9,222
89,3,69
101,35,101
133,11,115
21,35,41
83,67,103
12,2,11
127,6,68
46,44,60
150,12,215
99,6,130
387,2,110
14,12,6
285,2,288
82,7,122
14,1,7
267,111,196
23,1,14
156,6,127
236,2,319
237,1,442
151,9,175
58,1,86
53,2,33
358,7,134
202,93,151
5,8,6
11,2,9
132,7,84
32,48,21
81,7,75
131,9,118
45,21,36
34,44,48
93,2,101
101,1,61
161,86,209
67,1,101
41,2,27
7,28,5
101,1,44
195,1,98
318,5,86
190,88,194
12,2,7
64,32,59
110,63,135
322,107,366
230,3,220
26,4,19
78,2,101
94,1,114
45,7,45
48,24,40
101,52,101
128,7,163
829,61,854
904,1,529
810,226,888
569,33,490
875,59,760
406,32,623
578,5,757
854,10,562
707,58,772
544,178,823
736,52,775
865,28,909
716,62,609
697,48,759
776,32,895
863,28,751
948,29,888
904,4,722
660,156,637
917,66,990
754,29,631
597,55,601
581,28,710
663,64,922
502,33,837
463,54,765
966,56,797
725,42,641
817,220,897
669,219,992
984,41,727
634,22,938
812,6,962
778,54,497
910,16,879
895,58,940
780,20,568
912,22,764
860,57,835
692,62,952
959,37,669
837,44,975
688,4,843
917,19,927
646,20,575
692,8,405
782,7,788
820,9,817
991,49,980
686,9,724
777,31,923
730,1,697
803,39,959
861,13,605
877,2,572
912,36,880
552,27,916
679,61,919
430,172,638
908,4,997
792,18,576
943,222,936
495,43,754
907,30,989
895,52,858
662,212,741
934,24,901
897,60,695
884,48,967
641,31,556
551,62,827
657,66,887
974,1,519
691,12,853
778,1,999
757,3,696
918,50,990
715,8,677
642,1,799
759,59,985
815,6,521
560,2,684
974,20,894
738,72,965
958,33,766
950,47,866
767,70,966
947,8,798
396,46,792
772,60,859
756,38,641
768,216,779
922,9,783
750,28,436
918,65,893
904,10,754
496,202,876
915,19,954
773,33,396
640,2,799
868,5,991
987,8,822
636,209,675
595,48,725
570,5,769
894,78,787
751,57,969
731,35,728
899,40,947
887,19,984
744,1,940
917,74,923
920,27,987
594,32,787
605,2,949
974,12,985
793,34,863
712,48,823
770,22,543
580,40,974
673,15,633
888,13,542
812,6,732
758,5,714
761,69,879
470,30,636
907,26,679
818,147,988
668,47,780
991,80,959
987,23,878
561,1,898
931,38,738
787,41,753
573,11,551
752,47,852
624,31,854
974,55,759
829,30,912
815,229,962
991,15,598
836,41,859
974,16,954
991,83,861
880,34,918
603,67,912
853,225,913
766,55,674
923,15,929
782,35,826
987,50,810
582,7,357
394,45,649
761,5,740
614,32,477
519,2,645
938,34,997
658,209,683
932,64,737
743,43,661
691,51,767
859,64,966
518,175,571
984,20,923
864,185,931
774,31,716
621,47,894
737,27,851
762,44,763
833,63,857
890,15,721
741,13,512
699,222,959
