national_rank,publications,quality_of_faculty
29,544,210
18,544,218
3,621,218
2,377,210
147,459,210
14,129,196
15,318,218
73,877,218
2,871,218
64,737,210
81,830,218
13,386,218
45,740,210
8,161,218
9,458,210
26,379,210
1,446,218
29,778,210
19,555,218
47,47,50
70,793,218
11,551,210
18,397,210
2,396,210
57,804,210
8,371,218
17,328,188
8,355,218
46,840,218
13,304,218
12,113,85
5,202,187
55,916,218
218,981,218
14,300,185
38,372,210
29,542,218
3,12,27
20,490,218
50,121,73
3,15,2
118,427,218
155,433,218
112,267,150
6,217,116
2,12,3
2,45,210
3,81,165
216,779,210
2,279,75
209,683,210
34,465,218
1,73,25
16,462,210
9,397,218
5,53,2
8,881,218
5,10,6
134,513,210
125,272,210
3,717,218
5,54,36
4,94,111
10,53,7
112,445,218
43,50,101
54,76,101
36,577,210
64,922,218
37,387,210
18,727,218
4,562,218
28,438,218
41,859,210
2,416,210
7,277,210
3,95,56
3,860,218
33,693,218
19,197,122
70,315,210
20,19,56
2,56,101
18,21,34
8,6,6
43,655,210
8,92,74
52,533,210
62,827,210
10,845,210
12,11,20
9,724,210
3,687,218
32,957,218
20,216,168
51,869,218
44,60,84
71,243,100
7,70,3
3,297,210
8,339,210
99,263,145
23,577,218
89,162,210
36,735,192
2,619,210
6,504,218
2,25,19
1,73,26
42,750,218
34,57,39
39,35,98
19,22,46
2,276,210
38,30,83
167,553,210
14,239,218
172,682,218
5,665,210
5,86,218
38,637,218
1,820,218
22,421,210
4,208,218
212,741,218
61,775,210
44,486,218
74,999,218
7,45,101
40,886,218
41,583,218
12,853,210
74,632,210
71,946,210
5,523,218
2,409,150
71,952,210
7,37,8
48,101,67
80,959,218
3,15,2
27,987,210
211,702,218
7,736,218
49,988,210
30,547,210
13,4,21
2,333,142
18,213,218
1,108,44
11,398,210
141,449,97
26,520,75
48,759,210
1,248,210
2,882,210
84,288,136
23,24,101
37,786,210
43,824,210
26,911,210
133,326,218
17,19,21
141,482,218
11,115,218
10,812,218
11,282,218
2,949,218
4,976,210
16,352,218
5,177,71
2,6,4
21,372,12
39,833,210
9,867,218
4,955,218
46,834,210
17,790,218
14,781,210
59,85,210
223,977,218
5,271,210
16,178,143
1,799,218
75,849,210
41,785,218
15,721,210
22,938,218
15,473,218
25,492,210
1,80,111
6,156,193
4,210,210
44,661,210
164,465,210
14,457,210
9,138,53
44,975,218
2,121,30
7,356,218
6,41,74
2,101,23
52,101,70
75,188,210
3,491,218
4,843,210
29,777,218
3,660,210
10,22,14
11,174,176
47,101,101
23,472,210
35,826,218
65,893,210
184,640,210
3,420,210
1,38,64
64,674,218
178,823,218
52,78,44
44,763,218
65,173,58
142,901,218
67,982,218
17,19,33
5,485,210
26,768,210
3,25,95
8,358,210
70,923,210
11,807,218
53,841,210
35,852,210
5,43,48
2,15,9
7,167,205
4,90,218
68,873,210
1,11,10
174,713,218
1,35,218
52,949,210
32,715,210
70,966,218
9,839,218
6,732,210
64,161,68
40,947,210
6,578,218
21,297,218
4,101,85
10,445,210
192,800,218
84,890,210
9,38,7
3,932,210
6,265,218
29,607,210
156,637,210
3,315,218
4,336,218
1,529,210
60,846,210
8,798,218
15,332,210
29,719,210
4,12,49
48,816,218
2,312,218
40,394,210
22,929,210
4,630,210
11,478,218
9,746,210
6,130,52
1,61,218
9,416,210
51,101,101
42,491,210
15,16,20
61,942,218
68,966,210
73,888,210
20,204,188
4,64,196
45,768,218
31,18,87
58,773,210
2,140,218
1,243,210
13,205,210
15,188,218
36,850,218
57,760,210
34,390,210
2,42,218
43,661,218
63,800,210
3,413,115
163,424,210
11,820,210
95,257,155
43,701,218
25,693,210
229,962,210
31,854,210
2,99,218
54,134,189
14,294,210
3,712,218
14,170,210
195,640,218
74,995,210
67,628,210
39,82,101
5,888,218
27,627,218
8,830,210
34,694,210
31,19,83
15,416,218
42,528,218
36,626,210
37,26,94
6,526,197
38,697,210
3,256,218
1,64,43
7,135,210
13,605,210
3,229,218
2,572,218
22,254,210
23,580,218
5,620,218
2,65,101
79,885,210
44,939,210
3,603,210
33,101,17
2,866,210
2,9,5
16,216,164
15,633,218
1,403,218
1,55,37
4,36,84
27,246,210
98,201,218
5,8,6
139,447,218
10,214,175
16,193,131
21,662,218
10,789,210
32,813,210
63,135,140
7,13,10
72,965,210
29,669,218
2,84,147
14,406,210
193,820,210
5,277,218
16,841,126
13,505,218
3,75,134
178,731,210
15,307,210
90,168,218
21,978,210
32,278,210
47,866,218
2,30,24
1,798,210
24,414,218
20,335,218
29,260,218
176,642,218
17,236,192
10,132,218
41,281,210
88,194,154
152,455,218
39,959,210
6,17,8
42,74,87
4,62,153
21,567,210
7,373,210
29,33,65
10,484,210
7,154,210
79,858,218
162,756,155
14,871,210
27,675,210
62,972,210
5,228,210
15,350,210
29,541,218
26,679,210
4,126,80
83,860,210
26,769,210
14,10,15
7,175,218
22,543,210
10,393,218
211,949,210
16,731,218
21,36,21
1,228,116
65,140,131
21,902,218
40,29,96
22,570,210
19,258,218
9,367,218
16,395,210
50,747,218
1,994,218
196,494,210
10,405,218
80,900,210
51,625,218
12,475,210
54,986,218
96,238,210
47,618,210
66,990,218
3,704,210
106,203,218
13,254,218
25,761,218
2,340,218
129,639,210
62,609,218
171,463,210
15,765,210
